product_category_name_english,gmv,orders,avg_score,delay_rate,avg_delay
tablets_printing_image,10042.93,79,4.1234567901234565,0.060240963855421686,-12.156626506024097
cine_photo,9242.84,63,4.285714285714286,0.07142857142857142,-10.7
music,6901.43,38,4.2105263157894735,0.05263157894736842,-13.736842105263158
books_imported,6443.13,50,4.508771929824562,0.03508771929824561,-10.491228070175438
dvds_blu_ray,6416.99,56,4.180327868852459,0.06557377049180328,-12.704918032786885
party_supplies,5938.54,38,3.8333333333333335,0.047619047619047616,-14.357142857142858
furniture_mattress_and_upholstery,5904.75,37,3.891891891891892,0.13513513513513514,-6.675675675675675
fashio_female_clothing,4902.67,36,3.933333333333333,0.06666666666666667,-10.777777777777779
diapers_and_hygiene,4126.17,25,3.3783783783783785,0.02702702702702703,-10.756756756756756
fashion_sport,3605.83,26,4.344827586206897,0.034482758620689655,-11.793103448275861
la_cuisine,2913.53,13,4.0,0.0,-15.928571428571429
arts_and_craftmanship,2326.17,23,4.125,0.041666666666666664,-6.166666666666667
flowers,2213.01,29,4.419354838709677,0.030303030303030304,-11.757575757575758
home_comfort_2,1710.54,24,3.6296296296296298,0.16666666666666666,-7.9
cds_dvds_musicals,1199.43,12,4.642857142857143,0.0,-16.071428571428573
fashion_childrens_clothes,718.98,7,5.0,0.0,-15.428571428571429
security_and_services,324.51,2,2.5,0.0,-16.0
